40000 B.C.  	Cro-Magnon man (homo sapiens) is active in Europe and the Middle East.
30000 B.C.  	Prehistoric art appears about this time.
20000 B.C.  	Early humans cross the Bering Land Bridge from Asia to the Americas.
12000 B.C.  	Early humans domesticate wild dogs about this time.
11000 B.C.  	Flint-edged wooden sickles are used to gather wild grains.
10000 B.C.  	Jericho, the oldest known city, is built in the Middle East.
10000 B.C.  	Metallurgy is practiced in Anatolia.
9000 B.C.  	Plant cultivation begins in the Fertile Crescent region of the Middle East.
9000 B.C.  	Sheep are domesticated in the Middle East.
9000 B.C.  	The Folsom culture emerges in North America about this time.
8000 B.C.  	The Jomon culture begins to emerge in Japan.
7500 B.C.  	The Neolithic settlement of Catal Huyuk is founded in Turkey.
7000 B.C.  	Fired-clay pottery is made about this time.
7000 B.C.  	Mesoamerican peoples begin domesticating plants.
5000 B.C.  	The Egyptians begin irrigating crops.
5000 B.C.  	The Egyptians use balances for weighing by this time.
5000 B.C.  	The Ertebolle culture begins to flourish in Denmark.
5000 B.C.  	The Sumerian civilization begins to develop in Mesopotamia.
5000 B.C.  	The Yang-shao and Lung-shan cultures are established in China by this time.
5000 B.C.  	The earliest ziggurat (temple tower) is built at the Sumerian city of Eridu.
4500 B.C.  	The Danubian culture begins in eastern and central Europe about this time.
4000 B.C.  	Cattle are domesticated about this time.
4000 B.C.  	The first megaliths are erected in Brittany.
4000 B.C.  	The wheel is developed in Mesopotamia.
3800 B.C.  	The earliest known copper artifacts are produced at Tepe Yahya in Iran.
3500 B.C.  	Bread making probably originates in Egypt about this time.
3100 B.C.  	King Menes unites Upper and Lower Egypt; the Early Dynastic Period begins.
3000 B.C.  	Beeswax candles are in use in Egypt and Crete.
3000 B.C.  	Bronze implements are in common use in the Middle East.
3000 B.C.  	Chariots are in use in Mesopotamia.
3000 B.C.  	Cuneiform writing originates in Sumer about this time.
3000 B.C.  	Galleys propelled by oars and sails are in use around the Mediterranean.
3000 B.C.  	The Beaker culture begins to develop in Central Europe.
3000 B.C.  	The Denbigh Flint Complex is established by pre-Eskimo peoples in Alaska.
3000 B.C.  	The Minoan civilization begins to flourish on the island of Crete.
3000 B.C.  	The Phoenician city of Byblos becomes an active seaport and trade center.
3000 B.C.  	The city of Troy is first inhabited about this time.
3000 B.C.  	The lyre is developed in Sumeria about this time.
3000 B.C.  	The site of Athens is inhabited by this time in present day Greece.
2800 B.C.  	Building of Stonehenge begins in Britain.
2800 B.C.  	Lagash becomes the largest city in Sumer about this time.
2700 B.C.  	The Indus civilization begins to emerge around the Indus valley in southern Asia.
2686 B.C.  	The Egyptian Old Kingdom begins.
2650 B.C.  	The oldest pyramid, the Step Pyramid of King Zoser, is built at Saqqara in Egypt.
2500 B.C.  	A Mayan settlement is established at Cuello in present day Belize.
2500 B.C.  	Corn (zea mays) is domesticated in Mesoamerica.
2500 B.C.  	The city of Ur becomes the capital of Sumer.
2500 B.C.  	The largest pyramid in the world is built for the Egyptian king Khufu at Giza.
2400 B.C.  	The Egyptians begin to use papyrus as a writing material about this time.
2333 B.C.  	Legendary figure Tangun is said to have established the first Korean kingdom.
2300 B.C.  	The Hittites enter Anatolia about this time.
2133 B.C.  	Egypt is reunited during the 11th dynasty of the Middle Kingdom.
2000 B.C.  	Megalith stone alignments are erected at Carnac in present day France.
2000 B.C.  	The Akkadian poem the Epic of Gilgamesh is composed about this time.
2000 B.C.  	The Avebury Circle is built in England.
2000 B.C.  	The Celts emerge in Europe about this time.
1991 B.C.  	Amenemhet I overthrows the Theban rulers of Egypt to found the 12th Dynasty.
1900 B.C.  	Minoan Linear A script writing develops on Crete.
1900 B.C.  	The Assyrians are unified in Mesopotamia during the Old Assyrian period.
1900 B.C.  	The Hittites begin smelting iron about this time.
1900 B.C.  	The cities of Sodom and Gomorrah are devastated by an earthquake.
1800 B.C.  	Bronze metalworking begins to spread throughout Europe.
1800 B.C.  	The Assyrians are driven out of Anatolia by the Hittites.
1800 B.C.  	The Huastec tribe splits from the Maya in Mesoamerica about this time.
1800 B.C.  	The Wessex culture is established in Britain about this time.
1792 B.C.  	Hammurabi begins his reign as king of Babylonia.
1766 B.C.  	The Shang dynasty begins in the Hwang Ho valley in China.
1750 B.C.  	The Hittite kingdom is established with Hattusas (modern Bogazkoy) as its capital.
1750 B.C.  	The Indus civilization goes into decline about this time.
1700 B.C.  	The palaces at Knossos and Phaistos on Crete are destroyed by fire about this time.
1674 B.C.  	Egypt comes under the rule of foreign Hyksos kings.
1650 B.C.  	The Rhind papyrus, the earliest surviving mathematical text, is produced.
1600 B.C.  	Greek hoplites (foot-soldiers) begin using protective armor in battle.
1600 B.C.  	Oracle bones are used for divination by the Shang in China.
1600 B.C.  	The Ebers papyrus documents medical treatment in Egypt.
1600 B.C.  	The city of Mycenae develops in Greece.
1600 B.C.  	The clepsydra, a water clock, is invented in Egypt.
1570 B.C.  	Egyptian expansion begins under the New Kingdom pharaohs.
1570 B.C.  	Temple complexes are built at Karnak and Luxor in Egypt.
1567 B.C.  	King Ahmose I expels the Hyksos from Egypt.
1550 B.C.  	Assyria becomes part of the Kingdom of Mitanni.
1512 B.C.  	Thutmose I is the first pharaoh to be buried in the Valley of the Kings.
1503 B.C.  	Queen Hatshepsut becomes the only woman to rule Egypt as pharaoh.
1500 B.C.  	Glassmaking is perfected in Egypt and the Near East.
1500 B.C.  	Minoan settlements on Thera are buried by a volcanic eruption.
1500 B.C.  	Sundials are in use in Egypt about this time.
1500 B.C.  	The Kingdom of Mitanni flourishes in northern Mesopotamia.
1500 B.C.  	The Phoenicians found the city of Tangier in North Africa.
1500 B.C.  	Writing of the Hindu Vedas begin in India about this time.
1450 B.C.  	Mycenaeans dominate the Aegean.
